ChainId	StoreLocalId	StoreLat	StoreLon
7290058108879	1	32.517127	35.148529
7290058108879	2	32.6841583	35.3748072
7290058108879	3	32.59735	34.951901
7290058108879	5	32.2925846	34.9839389
7290058108879	6	32.7931461	35.1815872
7290058108879	7	32.86532	35.29718
7290058108879	8	31.2249031	34.8204612
7290058108879	9	32.852247	35.201315
7290058108879	10	32.696563	35.052609
7290058108879	12	32.6954068	35.31273761
7290058108879	13	32.111914	34.9498216
7290058108879	14	32.80585822	34.96833231
7290058108879	15	32.924238	35.311195
7290058108879	16	32.9251289	35.0825576
7290058108879	17	32.68042683	35.26823812
7290058108879	18	32.047835	34.752591
7290058108879	19	31.9264	34.877
7290058108879	28	31.38079669	34.76812452
7290058108879	31	32.71713478	35.33625547
7290058108879	200	31.78937616	35.23295289
7290058108879	334	32.86136046	35.37027706
7290058108879	335	32.74903894	35.33594115
7290058108879	336	32.2925827	34.9840936
7290058108879	338	32.71628321	35.29413608
7290058108879	339	32.04741575	34.75958241
7290058159628	5	32.46536034	35.04779703
7290058159628	7	31.8214541	35.23953302
7290058159628	18	31.7377093	35.1774455
7290058159628	23	31.77706226	35.21476261
7290058159628	26	31.86538619	35.26087193
7290058159628	38	32.08604618	34.83148625
7290058159628	39	32.09015897	34.83490188
7290058159628	41	32.75872177	35.09676964
7290058159628	45	31.77340788	35.29817375
7290058159628	46	31.25369408	34.77225833
7290058159628	47	31.26534158	34.79383815
7290058197699	83	32.05108633	34.83927717
7290058197699	300	32.02106177	34.75745313
7290058197699	352	33.00651287	35.0965139
7290058197699	480	32.06212993	34.77319498
7290058197699	481	32.06887662	34.77062141
7290058197699	550	31.79363034	34.6406793
7290058197699	755	32.15611331	34.89217581
7290058197699	851	32.05320065	34.75635777
7290058197699	910	31.60637442	34.77840316
7290058197699	913	31.73131367	34.73931527
7290058197699	970	32.08487688	34.8126392
7290058197699	1241	32.08383707	34.81412913
7290492000005	595	32.02082723	34.74002256
7290492000005	596	32.80800013	34.97587033
7290492000005	597	31.95960437	34.83131696
7290492000005	644	32.89971851	35.17006201
7290492000005	645	32.7055	35.41037
7290492000005	647	32.39666	35.00647
7290492000005	648	33.04454198	35.10694597
7290492000005	649	32.08916076	34.9443469
7290492000005	650	32.71319008	35.54673958
7290492000005	651	31.31695123	34.5255356
7290492000005	652	32.54428347	35.43389642
7290492000005	653	31.91923707	34.84657573
7290492000005	654	31.34479	34.86865
7290492000005	655	32.35787	34.90771
7290492000005	656	32.4659678	34.99195883
7290492000005	657	32.08916076	34.9443469
7290492000005	658	33.17040836	35.57075953
7290492000005	661	32.57334215	35.19688911
7290492000005	666	32.08916076	34.9443469
7290492000005	702	31.86707552	34.94928339
7290492000005	706	31.88353	35.08752
7290492000005	707	31.42203	34.78612
7290492000005	709	32.13725	34.9167
7290492000005	710	32.64582	35.12539
7290492000005	711	32.79023741	35.03071189
7290492000005	714	32.54428347	35.43389642
7290492000005	715	32.15519405	34.94705941
7290492000005	717	31.83682	34.97707
7290492000005	718	32.66431753	34.95541357
7290492000005	719	31.31695123	34.5255356
7290492000005	721	32.64954835	35.29119047
7290492000005	722	32.94561445	35.17023967
7290492000005	723	31.55581931	34.649749
